band,day,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,rx_ratio_clipped,log_rx_gain_per_db,delta_rx_per_db,start_snr,reports_lo,reports_hi
10m,2023-04-17,wspr_2023-04-17_10m.parquet,DL1TFI,40,47,7,46,27,0.5869565217391305,0.5869565217391305,-0.07611493292639512,-2.7142857142857144,-20.0,72,27
10m,2023-04-17,wspr_2023-04-17_10m.parquet,F6KPL,13,20,7,2,3,1.5,1.5,0.05792358687259491,0.14285714285714285,-27.0,13,16
10m,2023-04-17,wspr_2023-04-17_10m.parquet,KD5CMN,30,33,3,49,26,0.5306122448979592,0.5306122448979592,-0.2112412533630482,-7.666666666666667,-17.0,163,45
10m,2023-04-17,wspr_2023-04-17_10m.parquet,VE3MNX,27,37,10,43,60,1.3953488372093024,1.3953488372093024,0.03331444465285383,1.7,-21.0,139,121
10m,2023-04-17,wspr_2023-04-17_10m.parquet,WB5SRK,37,43,6,22,62,2.8181818181818183,2.8181818181818183,0.17268198861446263,6.666666666666667,-17.0,44,191
10m,2023-04-18,wspr_2023-04-18_10m.parquet,DL5SFB,27,30,3,91,17,0.18681318681318682,0.18681318681318682,-0.559215387486878,-24.666666666666668,-17.0,860,90
10m,2023-04-18,wspr_2023-04-18_10m.parquet,F6KPL,13,20,7,2,3,1.5,1.5,0.05792358687259491,0.14285714285714285,-23.0,24,21
10m,2023-04-18,wspr_2023-04-18_10m.parquet,G4SHS,23,30,7,4,63,15.75,15.75,0.3938343378959489,8.428571428571429,-20.0,69,697
10m,2023-04-18,wspr_2023-04-18_10m.parquet,KE8BJQ,20,23,3,17,22,1.2941176470588236,1.2941176470588236,0.08594303643403328,1.6666666666666667,-22.5,38,46
10m,2023-04-18,wspr_2023-04-18_10m.parquet,KE8BJQ,20,27,7,17,28,1.6470588235294117,1.6470588235294117,0.07128445230271255,1.5714285714285714,-22.5,38,48
10m,2023-04-18,wspr_2023-04-18_10m.parquet,KE8BJQ,20,30,10,17,44,2.588235294117647,2.588235294117647,0.09509762898620452,2.7,-22.5,38,190
10m,2023-04-18,wspr_2023-04-18_10m.parquet,KE8BJQ,23,27,4,22,28,1.2727272727272727,1.2727272727272727,0.06029051420422201,1.5,-18.5,46,48
10m,2023-04-18,wspr_2023-04-18_10m.parquet,KE8BJQ,23,30,7,22,44,2.0,2.0,0.09902102579427789,3.142857142857143,-18.5,46,190
10m,2023-04-18,wspr_2023-04-18_10m.parquet,KE8BJQ,27,30,3,28,44,1.5714285714285714,1.5714285714285714,0.1506617079143524,5.333333333333333,-16.5,48,190
10m,2023-04-18,wspr_2023-04-18_10m.parquet,KE8BJQ,27,37,10,28,10,0.35714285714285715,0.35714285714285715,-0.10296194171811582,-1.8,-16.5,48,22
10m,2023-04-18,wspr_2023-04-18_10m.parquet,KE8BJQ,30,37,7,44,10,0.22727272727272727,0.22727272727272727,-0.21165779156060222,-4.857142857142857,-19.0,190,22
10m,2023-04-18,wspr_2023-04-18_10m.parquet,VE1XOR,37,40,3,68,37,0.5441176470588235,0.5441176470588235,-0.20286326417729414,-10.333333333333334,-15.0,198,58
10m,2023-04-18,wspr_2023-04-18_10m.parquet,WB5SRK,30,37,7,43,31,0.7209302325581395,0.7209302325581395,-0.04674470160120232,-1.7142857142857142,-13.0,195,83
10m,2023-04-18,wspr_2023-04-18_10m.parquet,WB5SRK,37,47,10,31,47,1.5161290322580645,1.5161290322580645,0.041616039722491234,1.6,-6.0,83,84
10m,2023-04-19,wspr_2023-04-19_10m.parquet,DL5SFB,20,27,7,5,4,0.8,0.8,-0.031877650187744244,-0.14285714285714285,-15.0,26,75
10m,2023-04-19,wspr_2023-04-19_10m.parquet,KE8BJQ,30,37,7,5,28,5.6,5.6,0.24610951396301478,3.2857142857142856,-25.0,24,158
10m,2023-04-19,wspr_2023-04-19_10m.parquet,N6SPP,33,37,4,54,39,0.7222222222222222,0.7222222222222222,-0.081355600108657,-3.75,-17.0,242,135
10m,2023-04-19,wspr_2023-04-19_10m.parquet,WB5SRK,30,37,7,27,66,2.4444444444444446,2.4444444444444446,0.12768826800315664,5.571428571428571,-8.0,69,357
10m,2023-04-19,wspr_2023-04-19_10m.parquet,WB5SRK,37,47,10,66,23,0.3484848484848485,0.3484848484848485,-0.10541605260972757,-4.3,-9.0,357,33
10m,2023-04-19,wspr_2023-04-19_10m.parquet,WZ8S,37,47,10,16,39,2.4375,2.4375,0.08909729238898652,2.3,-20.0,37,83
10m,2023-04-20,wspr_2023-04-20_10m.parquet,AF4BS,40,43,3,51,60,1.1764705882352942,1.1764705882352942,0.05417297649925831,3.0,-18.0,83,98
10m,2023-04-20,wspr_2023-04-20_10m.parquet,VE1VDM,23,30,7,17,61,3.588235294117647,3.588235294117647,0.18252293144529932,6.285714285714286,-22.0,88,361
10m,2023-04-21,wspr_2023-04-21_10m.parquet,DL6YCU,27,37,10,38,34,0.8947368421052632,0.8947368421052632,-0.011122563511022438,-0.4,-20.0,227,102
10m,2023-04-21,wspr_2023-04-21_10m.parquet,F6KPL,13,20,7,2,3,1.5,1.5,0.05792358687259491,0.14285714285714285,-24.5,22,16
10m,2023-04-21,wspr_2023-04-21_10m.parquet,K7TLU,40,43,3,67,23,0.34328358208955223,0.34328358208955223,-0.3563994678206055,-14.666666666666666,-15.0,266,23
10m,2023-04-21,wspr_2023-04-21_10m.parquet,K8CHY,30,37,7,32,52,1.625,1.625,0.06935825939738584,2.857142857142857,-21.0,106,231
10m,2023-04-21,wspr_2023-04-21_10m.parquet,KG4LDK,47,50,3,38,53,1.394736842105263,1.394736842105263,0.110901917941912,5.0,-20.0,38,53
10m,2023-04-22,wspr_2023-04-22_10m.parquet,AA0N,27,30,3,15,17,1.1333333333333333,1.1333333333333333,0.04172104765133533,0.6666666666666666,-10.5,24,17
10m,2023-04-22,wspr_2023-04-22_10m.parquet,K4PQC/A,20,23,3,46,18,0.391304347826087,0.391304347826087,-0.3127565461976434,-9.333333333333334,-16.0,490,31
10m,2023-04-22,wspr_2023-04-22_10m.parquet,N9REI,43,47,4,42,21,0.5,0.5,-0.17328679513998632,-5.25,-13.5,100,57
