band,day,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,rx_ratio_clipped,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
20m,2023-05-15,wspr_2023-05-15_20m.parquet,AG2L,37,43,6,163,76,0.4662576687116564,0.4662576687116564,-14.5,-15.0,431,76,-20..-15
20m,2023-05-15,wspr_2023-05-15_20m.parquet,CK3VYT,37,40,3,88,93,1.0568181818181819,1.0568181818181819,1.6666666666666667,-16.0,175,137,-20..-15
20m,2023-05-15,wspr_2023-05-15_20m.parquet,DK3BI,23,33,10,30,88,2.933333333333333,2.933333333333333,5.8,-15.5,400,1231,-20..-15
20m,2023-05-15,wspr_2023-05-15_20m.parquet,IZ2QKG,33,37,4,25,55,2.2,2.2,7.5,-15.0,45,150,-20..-15
20m,2023-05-15,wspr_2023-05-15_20m.parquet,KC1PHY,33,43,10,35,233,6.6571428571428575,6.6571428571428575,19.8,-13.0,35,397,>-15
20m,2023-05-15,wspr_2023-05-15_20m.parquet,KD9TVT,37,40,3,25,42,1.68,1.68,5.666666666666667,-13.0,25,42,>-15
20m,2023-05-15,wspr_2023-05-15_20m.parquet,KE4VWK,30,33,3,14,13,0.9285714285714286,0.9285714285714286,-0.3333333333333333,-22.0,14,13,-24..-22
20m,2023-05-15,wspr_2023-05-15_20m.parquet,M0WWJ,13,23,10,8,12,1.5,1.5,0.4,-21.0,23,42,-22..-20
20m,2023-05-15,wspr_2023-05-15_20m.parquet,MM7BWK,33,37,4,110,242,2.2,2.2,33.0,-20.0,563,3512,-22..-20
20m,2023-05-15,wspr_2023-05-15_20m.parquet,N0TZC,40,47,7,110,46,0.41818181818181815,0.41818181818181815,-9.142857142857142,-13.0,304,46,>-15
20m,2023-05-15,wspr_2023-05-15_20m.parquet,N3AGE,23,30,7,20,29,1.45,1.45,1.2857142857142858,-17.0,585,116,-20..-15
20m,2023-05-15,wspr_2023-05-15_20m.parquet,N5AQM,27,30,3,127,85,0.6692913385826772,0.6692913385826772,-14.0,-18.0,774,85,-20..-15
20m,2023-05-15,wspr_2023-05-15_20m.parquet,N5AQM,27,37,10,127,93,0.7322834645669292,0.7322834645669292,-3.4,-18.0,774,93,-20..-15
20m,2023-05-15,wspr_2023-05-15_20m.parquet,N5AQM,30,37,7,85,93,1.0941176470588236,1.0941176470588236,1.1428571428571428,-15.0,85,93,-20..-15
20m,2023-05-15,wspr_2023-05-15_20m.parquet,OH2DX,40,43,3,143,148,1.034965034965035,1.034965034965035,1.6666666666666667,-16.0,2139,3934,-20..-15
20m,2023-05-15,wspr_2023-05-15_20m.parquet,R2BIY,37,43,6,197,162,0.8223350253807107,0.8223350253807107,-5.833333333333333,-18.0,1523,441,-20..-15
