band,snr_bin,n,median_rx_ratio,q25_rx_ratio,q75_rx_ratio,median_delta_rx_per_db,median_start_snr,median_delta_power,median_rx_lo,median_rx_hi
20m,-28..-26,1,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.4,-26.0,10.0,6.0,10.0
20m,-26..-24,15,1.3888888888888888,0.9230769230769231,2.0384615384615383,0.8,-24.0,7.0,18.0,26.0
20m,-24..-22,27,1.123076923076923,0.9642857142857143,1.7045751633986927,1.0,-22.0,6.0,26.0,38.0
20m,-22..-20,61,1.1666666666666667,0.825,1.7887323943661972,0.42857142857142855,-21.0,7.0,36.0,38.0
20m,-20..-15,163,1.0459770114942528,0.8249606161386311,1.6324675324675324,0.3333333333333333,-17.5,6.0,38.0,42.0
20m,>-15,70,1.0506756756756757,0.6586926586926587,1.6157971014492754,0.4928571428571428,-12.0,4.0,84.5,106.0
40m,-30..-28,1,4.1,4.1,4.1,10.333333333333334,-28.0,3.0,10.0,41.0
40m,-28..-26,5,1.196969696969697,1.1515151515151516,3.727272727272727,1.4285714285714286,-26.0,4.0,66.0,76.0
40m,-26..-24,30,1.9291666666666667,0.815530303030303,4.960470085470085,4.380952380952381,-24.0,4.0,25.0,69.0
40m,-24..-22,42,1.0719756480754126,0.7414223850766156,2.142184557438795,1.0,-22.25,7.0,59.0,61.0
40m,-22..-20,39,1.4285714285714286,0.5772727272727273,2.672664835164835,5.0,-21.0,10.0,92.0,107.0
40m,-20..-15,41,1.0077519379844961,0.7456140350877193,1.8275862068965518,0.1,-17.0,7.0,69.0,91.0
40m,>-15,73,1.0169491525423728,0.74,1.5714285714285714,0.25,-10.0,4.0,109.0,115.0
